1 1.200000000
2 1.430000000
3 2.120000000
4 1.980000000
5 1.910000000
6 1.770000000
7 1.660000000
8 1.500000000
9 1.460000000
10 1.580000000
11 2.500000000
12 2.510000000
13 2.250000000
14 2.190000000
15 1.900000000
16 1.890000000
17 1.820000000
18 1.830000000
19 2.730000000
20 2.620000000
21 2.580000000
22 2.460000000
23 2.420000000
24 2.450000000
25 2.450000000
26 2.440000000
27 2.400000000
28 2.400000000
29 2.380000000
30 2.390000000
31 2.320000000
32 2.290000000
33 1.880000000
34 1.820000000
35 1.860000000
36 2.250000000
37 3.210000000
38 2.840000000
39 2.750000000
40 2.520000000
41 2.560000000
42 2.450000000
43 2.440000000
44 2.460000000
45 2.440000000
46 2.150000000
47 2.530000000
48 2.490000000
49 2.430000000
50 2.420000000
51 2.470000000
52 1.990000000
53 2.040000000
54 2.060000000
55 3.480000000
56 3.030000000
57 2.980000000
58 2.880000000
59 2.920000000
60 2.950000000
61 2.900000000
62 2.900000000
63 2.870000000
64 2.830000000
65 2.790000000
66 2.870000000
67 2.810000000
68 2.830000000
69 2.790000000
70 2.800000000
71 2.740000000
72 2.630000000
73 2.530000000
74 2.570000000
75 2.490000000
76 2.480000000
77 2.410000000
78 2.290000000
79 2.320000000
80 2.450000000
81 2.470000000
82 2.600000000
83 2.540000000
84 2.930000000
85 2.880000000
86 2.710000000
87 2.820000000
88 2.810000000
89 2.800000000
90 2.930000000
91 2.880000000
92 2.710000000
93 2.820000000
94 2.810000000
95 2.830000000
96 3.050000000
97 3.400000000
98 3.050000000
99 2.700000000
100 0.000000000
101 0.000000000
102 0.000000000
103 0.000000000
104 0.000000000
105 0.000000000
106 0.000000000
107 0.000000000
108 0.000000000
109 0.000000000
110 0.000000000
111 0.000000000
112 0.000000000
